S.n,Day,Source,Item,Quantity,Total Weight
515,11/11/2020,HAFB,Spaghetti Rings Pasta,18,0
516,11/11/2020,HAFB,Toothpaste,10,0
517,11/13/2020,Individual Donor,Rice,16,0
518,11/14/2020,University Club,Canned Beans,13,0
519,11/14/2020,Anonymous donor,Ramen,15,0
520,11/14/2020,Local Grocery,Granola Bars,10,0
521,11/15/2020,HAFB,Green Beans,12,0
522,11/15/2020,Anonymous donor,Bodywash,13,0
523,11/15/2020,HAFB,Scent Booster,13,0
524,11/16/2020,Individual Donor,Granola Bars,15,0
525,11/16/2020,Local Grocery,Spaghetti Rings Pasta,13,0
526,11/16/2020,Local Grocery,Peanut Butter Crackers,15,0
527,11/17/2020,First Year Studies Troy University,Softener,11,0
528,11/18/2020,Anonymous donor,Canned Beans,13,0
529,11/18/2020,Anonymous donor,Peanut Butter Crackers,9,0
530,11/18/2020,HAFB,Grits (can/package),17,0
531,11/18/2020,Local Grocery,Toilet Paper,15,0
532,11/19/2020,Anonymous donor,Peanut Butter Crackers,8,0
533,11/20/2020,HAFB,Canned Beans,12,0
534,11/20/2020,HAFB,Granola Bars,12,0
535,11/22/2020,Anonymous donor,Applesauce (ind),21,0
536,11/23/2020,Anonymous donor,Toilet Paper,10,0
537,11/23/2020,Anonymous donor,Toilet Paper,15,0
538,11/23/2020,Local Grocery,Peanut Butter Crackers,11,0
539,11/24/2020,Local Grocery,Spaghetti Rings Pasta,10,0
540,11/24/2020,Anonymous donor,Toilet Paper,9,0
541,11/25/2020,Community Center,Toothpaste,11,0
542,11/25/2020,HAFB,Green Beans,15,0
543,11/25/2020,Community Center,Cereal,13,0
544,11/25/2020,HAFB,Granola / Snack Bars,11,0
545,11/26/2020,Anonymous donor,Canned Vegetables,11,0
546,11/27/2020,Anonymous donor,Granola Bars,18,0
547,11/27/2020,HAFB,Canned Vegetables,11,0
548,11/27/2020,University Club,Scent Booster,11,0
549,11/28/2020,Community Center,Juice Boxes,15,0
550,11/28/2020,Anonymous donor,Canned Beans,13,0
551,11/30/2020,HAFB,Rice,12,0
552,11/30/2020,HAFB,Softener,12,0
553,12/1/2020,University Club,Sparkling Water,12,0
554,12/1/2020,Individual Donor,Campus Kitchens Meals,12,0
555,12/1/2020,HAFB,Ramen,33,0
556,12/2/2020,HAFB,Green Beans,34,0
557,12/2/2020,HAFB,Oatmeal,35,0
558,12/3/2020,HAFB,Peanut Butter Crackers,36,0
559,12/3/2020,Individual Donor,Scent Booster,4,0
560,12/5/2020,Community Center,Ramen,38,0
561,12/7/2020,Local Grocery,Toothpaste,39,0
562,12/7/2020,Anonymous donor,Fruit cup,40,0
563,12/7/2020,Individual Donor,Fruit cup,41,0
564,12/7/2020,HAFB,Peanut Butter Crackers,42,0
565,12/8/2020,Homecoming Philanthropy,Rice,43,0
566,12/8/2020,University Club,Canned Beans,44,0
567,12/10/2020,Anonymous donor,Toothpaste,45,0
568,12/11/2020,Homecoming Philanthropy,Peanut Butter Crackers,46,0
569,12/11/2020,Homecoming Philanthropy,Granola Bars,47,0
570,12/12/2020,HAFB,Granola Bars,48,0
571,12/13/2020,Starting Inventory,Laundry Detergent,4,0
572,12/13/2020,Community Center,Toothpaste,4,0
573,12/13/2020,Individual Donor,Juice Boxes,5,0
574,12/14/2020,Anonymous donor,Ramen,6,0
575,12/14/2020,Anonymous donor,Peanut Butter Crackers,7,0
576,12/15/2020,HAFB,Peanut Butter,8,0
577,12/15/2020,Anonymous donor,Rice Krispies Treats,9,0
578,12/18/2020,HAFB,Deodorant,10,0
579,12/20/2020,HAFB,Applesauce (ind),11,0
580,12/20/2020,HAFB,Fruit cup,12,0
581,12/20/2020,HAFB,Peanut Butter Crackers,13,0
582,12/21/2020,Individual Donor,Applesauce (ind),14,0
583,12/21/2020,University Club,Softener,14,0
584,12/22/2020,Starting Inventory,Peanut Butter Crackers,15,0
585,12/22/2020,HAFB,Oatmeal,16,0
586,12/23/2020,Can Castle Contest,Ramen,17,0
587,12/23/2020,HAFB,Cereal,18,0
588,12/23/2020,Starting Inventory,Pens,19,0
589,12/23/2020,HAFB,Fruit cup,20,0
590,12/23/2020,Local Grocery,Granola Bars,21,0
591,12/24/2020,HAFB,Pasta,22,0
592,12/25/2020,Community Center,Softener,12,0
593,12/26/2020,MGM Non-profit,Peanut Butter Crackers,1,0
594,12/28/2020,Individual Donor,Juice Boxes,2,0
595,12/28/2020,University Club,Softener,3,0
596,12/29/2020,Freshmen Forum,Toothpaste,4,0
597,12/30/2020,HAFB,Toothpaste,5,0
598,12/30/2020,Anonymous donor,Peanut Butter Crackers,6,0
599,12/31/2020,Local Grocery,Cereal,7,0
600,1/2/2021,Can Castle Contest,Canned Vegetables,40,0
601,1/5/2021,Anonymous donor,Scent Booster,28,0
602,1/6/2021,HAFB,Ramen,38,0
603,1/6/2021,Local Grocery,Shampoo,40,0
604,1/7/2021,University Club,Canned Vegetables,44,0
605,1/8/2021,HAFB,Fruit / Cereal / Breakfast Bar,37,0
606,1/8/2021,HAFB,Fruit cup,42,0
607,1/8/2021,Anonymous donor,Dental Floss,35,0
608,1/9/2021,Can Castle Contest,Fruit cup,40,0
609,1/9/2021,Anonymous donor,Rice Krispies Treats,47,0
610,1/9/2021,HAFB,Canned Vegetables,35,0
611,1/10/2021,Anonymous donor,Granola Bars,31,0
612,1/10/2021,Can Castle Contest,Applesauce (ind),37,0
613,1/11/2021,HAFB,Rice,38,0
614,1/12/2021,HAFB,Pasta,54,0
615,1/13/2021,Local Grocery,Cereal,38,0
616,1/13/2021,Community Center,Feminine Products (Pads),35,0
617,1/13/2021,Community Center,Softener,31,0
618,1/14/2021,HAFB,Fruit cup,49,0
619,1/16/2021,HAFB,Rice,42,0
620,1/17/2021,Community Center,Peanut Butter Crackers,30,0
621,1/18/2021,Local Grocery,Granola Bars,38,0
622,1/18/2021,Local Grocery,Vienna Sausages,14,0
623,1/19/2021,Anonymous donor,Scent Booster,54,0
624,1/19/2021,HAFB,Softener,37,0
625,1/20/2021,HAFB,Oatmeal,26,0
626,1/20/2021,Starting Inventory,Peanut Butter Crackers,26,0
627,1/21/2021,Community Center,Laundry Detergent,38,0
628,1/21/2021,Anonymous donor,Canned Vegetables,42,0
629,1/21/2021,Homecoming Philanthropy,Pasta,33,0
630,1/22/2021,Anonymous donor,Ramen,33,0
631,1/23/2021,HAFB,Spaghetti Rings Pasta,35,0
632,1/23/2021,Local Grocery,Juice Boxes,30,0
633,1/23/2021,HAFB,Cereal,37,0
634,1/23/2021,University Club,Rice,53,0
635,1/24/2021,Homecoming Philanthropy,Laundry Detergent,33,0
636,1/24/2021,HAFB,Softener,37,0
637,1/25/2021,HAFB,Softener,31,0
638,1/25/2021,HAFB,Applesauce (ind),35,0
639,1/25/2021,Anonymous donor,Scent Booster,49,0
640,1/25/2021,Local Grocery,Applesauce (ind),44,0
641,1/26/2021,HAFB,Fruit cup,24,0
642,1/26/2021,HAFB,Toothpaste,26,0
643,1/26/2021,Anonymous donor,Rice,26,0
644,1/26/2021,Starting Inventory,Rice,28,0
645,1/27/2021,HAFB,Toilet Paper,31,0
646,1/29/2021,Local Grocery,Fruit cup,44,0
647,1/30/2021,University Club,Applesauce (ind),42,0
648,1/30/2021,Local Grocery,Applesauce (ind),30,0
649,1/30/2021,University Club,Rice,24,0
650,1/30/2021,MGM Non-profit,Laundry Detergent,38,0
651,1/30/2021,sorority,Rice Krispies Treats,33,0
652,1/31/2021,HAFB,Ramen,38,0
653,1/31/2021,Can Castle Contest,Canned Beans,33,0
654,1/31/2021,HAFB,Rice,24,0
655,2/2/2021,HAFB,Fruit cup,40,0
656,2/3/2021,Local Grocery,Scent Booster,32,0
657,2/4/2021,HAFB,Laundry Detergent,34,0
658,2/4/2021,Anonymous donor,Toothpaste,52,0
659,2/4/2021,Community Center,Grits (ind),31,0
660,2/4/2021,HAFB,Softener,47,0
661,2/5/2021,Anonymous donor,Ramen,40,0
662,2/5/2021,Local Grocery,Pretzels,16,0
663,2/8/2021,HAFB,Toilet Paper,27,0
664,2/9/2021,HAFB,Toothpaste,34,0
665,2/10/2021,Local Grocery,Fruit cup,36,0
666,2/11/2021,Community Center,"Laundry Detergent, Softener, Scent Booster",34,0
667,2/12/2021,HAFB,Beefaroni,31,0
668,2/13/2021,Community Center,Toilet Paper,38,0
669,2/13/2021,Local Grocery,Peanut Butter Crackers,34,0
670,2/13/2021,Individual Donor,Ramen,51,0
671,2/14/2021,sorority,Pinto Beans,47,0
672,2/14/2021,HAFB,Fruit cup,29,0
673,2/14/2021,Can Castle Contest,Granola Bars,29,0
674,2/15/2021,Individual Donor,Applesauce (ind),36,0
675,2/15/2021,HAFB,Toilet Paper,25,0
676,2/15/2021,HAFB,Feminine Products (Pads),43,0
677,2/16/2021,Local Grocery,Applesauce (ind),40,0
678,2/16/2021,Local Grocery,Rice Krispies Treats,45,0
679,2/16/2021,Community Center,Toilet Paper,32,0
680,2/16/2021,Anonymous donor,Pasta,29,0
681,2/18/2021,University Club,Softener,38,0
682,2/18/2021,University Club,Granola Bars,31,0
683,2/19/2021,Anonymous donor,Dental Floss,45,0
684,2/19/2021,Homecoming Philanthropy,Canned Vegetables,29,0
685,2/20/2021,University Club,Softener,21,0
686,2/21/2021,Individual Donor,Pasta,43,0
687,2/21/2021,HAFB,Toilet Paper,43,0
688,2/21/2021,HAFB,Rice Krispies Treats,47,0
689,2/22/2021,HAFB,Canned Vegetables,43,0
690,2/22/2021,Individual Donor,Oatmeal,38,0
691,2/22/2021,First Year Studies Troy University,Rice Krispies Treats,51,0
692,2/22/2021,HAFB,Granola Bars,47,0
693,2/23/2021,HAFB,Scent Booster,40,0
694,2/24/2021,Local Grocery,Fruit cup,31,0
695,2/24/2021,Community Center,Granola Bars,32,0
696,2/24/2021,Anonymous donor,Scent Booster,36,0
697,2/25/2021,Community Center,Green Beans,47,0
698,2/25/2021,HAFB,Rice,47,0
699,2/27/2021,sorority,Pork and Beans,38,0
700,2/27/2021,Anonymous donor,Toothpaste,41,0
701,2/28/2021,HAFB,Canned Vegetables,41,0
702,3/1/2021,HAFB,Rice,29,0
703,3/2/2021,HAFB,Pasta,36,0
704,3/2/2021,Local Grocery,Rice,36,0
705,3/2/2021,University Club,Rice,42,0
706,3/3/2021,Can Castle Contest,Rice Krispies Treats,39,0
707,3/3/2021,Community Center,Fruit cup,36,0
708,3/3/2021,Homecoming Philanthropy,Rice Krispies Treats,41,0
709,3/3/2021,Local Grocery,Granola Bars,29,0
710,3/3/2021,Individual Donor,Ramen,46,0
711,3/3/2021,Local Grocery,Mac and Cheese,48,0
712,3/5/2021,HAFB,Fruit cup,41,0
713,3/6/2021,Individual Donor,Granola / Snack Bars,27,0
714,3/7/2021,HAFB,Rice Krispies Treats,48,0
715,3/7/2021,HAFB,Granola Bars,37,0
716,3/9/2021,Campus Kitchens,Juice Boxes,24,0
717,3/10/2021,University Club,Ramen,48,0
718,3/10/2021,HAFB,Laundry Detergent,25,0
719,3/11/2021,HAFB,Applesauce (ind),27,0
720,3/12/2021,HAFB,Peanut Butter Crackers,49,0
721,3/12/2021,University Club,Laundry Detergent,36,0
722,3/12/2021,HAFB,Ramen,37,0
723,3/13/2021,Community Center,Peanut Butter Crackers,34,0
724,3/14/2021,Starting Inventory,Toothpaste,27,0
725,3/17/2021,Local Grocery,Canned Beans,44,0
726,3/19/2021,Local Grocery,Canned Vegetables,41,0
727,3/19/2021,Anonymous donor,Juice Boxes,46,0
728,3/20/2021,Anonymous donor,Granola Bars,37,0
729,3/22/2021,Freshmen Forum,Granola Bars,24,0
730,3/22/2021,HAFB,Peanut Butter Crackers,49,0
731,3/22/2021,HAFB,Applesauce (ind),24,0
732,3/22/2021,Community Center,Rice,18,0
733,3/22/2021,University Club,Dental Floss,44,0
734,3/23/2021,HAFB,Canned Vegetables,18,0
735,3/23/2021,HAFB,Fruit cup,53,0
736,3/24/2021,Community Center,Canned Vegetables,24,0
737,3/24/2021,Community Center,Fruit cup,32,0
738,3/24/2021,Starting Inventory,Juice Boxes,44,0
739,3/24/2021,Individual Donor,Pasta,36,0
740,3/24/2021,Local Grocery,Rice,37,0
741,3/25/2021,Anonymous donor,Rice,36,0
742,3/25/2021,University Club,Pineapple,32,0
743,3/26/2021,Individual Donor,Fruit / Cereal / Breakfast Bar,30,0
744,3/26/2021,Community Center,Softener,34,0
745,3/27/2021,University Club,Ramen,51,0
746,3/28/2021,Anonymous donor,Toilet Paper,36,0
747,3/28/2021,HAFB,Scent Booster,37,0
748,3/29/2021,Local Grocery,Cereal,32,0
749,3/30/2021,HAFB,Peanut Butter Crackers,36,0
750,3/30/2021,HAFB,Peanut Butter Crackers,34,0
751,3/30/2021,Anonymous donor,Softener,36,0
752,3/30/2021,HAFB,Cereal,54,0
753,3/30/2021,University Club,Peanut Butter,20,0
754,3/31/2021,Anonymous donor,Granola Bars,22,0
755,4/1/2021,Homecoming Philanthropy,Pasta,50,0
756,4/1/2021,Local Grocery,Canned Beans,30,0
757,4/1/2021,Individual Donor,Toothpaste,30,0
758,4/5/2021,HAFB,Granola Bars,34,0
759,4/7/2021,University Club,Pasta,27,0
760,4/7/2021,Local Grocery,Applesauce (ind),36,0
761,4/7/2021,HAFB,Laundry Detergent,56,0
762,4/8/2021,Community Center,Laundry Detergent,50,0
763,4/9/2021,Starting Inventory,Granola Bars,36,0
764,4/9/2021,HAFB,Peanut Butter,54,0
765,4/10/2021,Individual Donor,Softener,34,0
766,4/10/2021,HAFB,Cereal,32,0
767,4/11/2021,HAFB,Fruit cup,39,0
768,4/13/2021,HAFB,Dental Floss,41,0
769,4/13/2021,HAFB,Toilet Paper,50,0
770,4/13/2021,Individual Donor,Granola Bars,45,0
771,4/14/2021,Local Grocery,Scent Booster,32,0
772,4/14/2021,Individual Donor,Fruit cup,27,0
773,4/16/2021,HAFB,Toilet Paper,36,0
774,4/18/2021,Anonymous donor,Granola Bars,38,0
775,4/20/2021,HAFB,Pasta,25,0
776,4/21/2021,Anonymous donor,Canned Vegetables,34,0
777,4/21/2021,HAFB,Ramen,30,0
778,4/22/2021,Anonymous donor,Rice,50,0
779,4/22/2021,HAFB,Peanut Butter Crackers,38,0
780,4/24/2021,Community Center,Rice Krispies Treats,32,0
781,4/25/2021,Individual Donor,Rice Krispies Treats,16,0
782,4/25/2021,Community Center,Page-protector,25,0
783,4/26/2021,Local Grocery,Granola Bars,38,0
784,4/27/2021,HAFB,Peanut Butter,57,0
785,4/27/2021,Anonymous donor,Mac and Cheese,34,0
786,4/28/2021,Anonymous donor,Laundry Detergent,34,0
787,4/29/2021,University Club,Juice Boxes,25,0
788,4/29/2021,Community Center,Toothpaste,36,0
789,4/30/2021,Homecoming Philanthropy,Peanut Butter Crackers,30,0
790,4/30/2021,Community Center,Toothpaste,36,0
791,4/30/2021,Community Center,Rice,41,0
792,5/1/2021,HAFB,Cereal,26,0
793,5/2/2021,Individual Donor,Rice,26,0
794,5/2/2021,University Club,Spaghetti Rings Pasta,29,0
795,5/2/2021,Local Grocery,Pickles,30,0
796,5/2/2021,Individual Donor,Peanut Butter Crackers,34,0
797,5/3/2021,Anonymous donor,Feminine Products (Pads),20,0
798,5/3/2021,Can Castle Contest,Peanut Butter Crackers,29,0
799,5/3/2021,Anonymous donor,Juice Boxes,23,0
800,5/3/2021,University Club,Juice Boxes,23,0
801,5/3/2021,HAFB,Applesauce (ind),25,0
802,5/4/2021,University Club,Applesauce (ind),34,0
803,5/4/2021,Homecoming Philanthropy,Pasta,22,0
804,5/4/2021,Anonymous donor,Water,40,0
805,5/5/2021,Anonymous donor,Cereal,27,0
806,5/5/2021,Anonymous donor,Spaghetti Rings Pasta,23,0
807,5/5/2021,Local Grocery,Granola Bars,33,0
808,5/7/2021,Community Center,Applesauce (ind),29,0
809,5/8/2021,HAFB,Applesauce (ind),30,0
810,5/10/2021,Homecoming Philanthropy,Cereal,29,0
811,5/11/2021,HAFB,Canned Vegetables,34,0
812,5/13/2021,Freshmen Forum,Softener,32,0
813,5/14/2021,Local Grocery,Chili Beans,22,0
814,5/16/2021,Individual Donor,Applesauce (ind),13,0
815,5/17/2021,MGM Non-profit,Granola Bars,26,0
816,5/17/2021,University Club,Scent Booster,30,0
817,5/18/2021,Starting Inventory,Peanut Butter Crackers,23,0
818,5/19/2021,University Club,Laundry Detergent,34,0
819,5/19/2021,Starting Inventory,Ramen,30,0
820,5/20/2021,Individual Donor,Canned Vegetables,27,0
821,5/20/2021,Local Grocery,Canned Beans,43,0
822,5/20/2021,Individual Donor,Cereal,23,0
823,5/20/2021,Community Center,Toilet Paper,23,0
824,5/20/2021,HAFB,Granola Bars,15,0
825,5/20/2021,HAFB,Ramen,29,0
826,5/21/2021,Community Center,Applesauce (ind),36,0
827,5/21/2021,HAFB,Applesauce (ind),33,0
828,5/21/2021,Homecoming Philanthropy,Rice Krispies Treats,37,0
829,5/21/2021,HAFB,Canned Vegetables,27,0
830,5/22/2021,Anonymous donor,Applesauce (ind),30,0
831,5/22/2021,Anonymous donor,Pasta,22,0
832,5/23/2021,Can Castle Contest,Peanut Butter Crackers,20,0
833,5/24/2021,Individual Donor,Toilet Paper,19,0
834,5/25/2021,Individual Donor,Granola Bars,27,0
835,5/26/2021,Can Castle Contest,Granola Bars,16,0
836,5/26/2021,HAFB,Softener,26,0
837,5/27/2021,Individual Donor,Canned Beans,25,0
838,5/29/2021,Anonymous donor,Beefaroni,19,0
839,5/29/2021,Campus Kitchens,Granola Bars,44,0
840,5/29/2021,Anonymous donor,Pasta,20,0
841,5/30/2021,HAFB,Pasta,13,0
842,5/30/2021,HAFB,Softener,20,0
843,5/31/2021,Individual Donor,Spaghetti Rings Pasta,22,0
844,5/31/2021,Anonymous donor,Rice,30,0
845,5/31/2021,HAFB,Softener,23,0
846,5/31/2021,Community Center,Rice,22,0
847,5/31/2021,Local Grocery,Scent Booster,30,0
848,6/1/2021,HAFB,Toothpaste,35,0
849,6/1/2021,Local Grocery,Fruit cup,28,0
850,6/1/2021,Individual Donor,Toothbrushes,31,0
851,6/3/2021,HAFB,Ramen,24,0
852,6/4/2021,Individual Donor,Juice Boxes,31,0
853,6/4/2021,HAFB,Scent Booster,21,0
854,6/5/2021,Individual Donor,Canned Vegetables,32,0
855,6/6/2021,Anonymous donor,Toothpaste,32,0
856,6/8/2021,University Club,Peanut Butter Crackers,21,0
857,6/8/2021,HAFB,Laundry Detergent,31,0
858,6/10/2021,Community Center,Toilet Paper,31,0
859,6/10/2021,Anonymous donor,Canned Vegetables,32,0
860,6/10/2021,Anonymous donor,Deodorant,24,0
861,6/11/2021,Homecoming Philanthropy,Pencils,27,0
862,6/11/2021,HAFB,Pasta,37,0
863,6/11/2021,Amnesty Day,Scent Booster,31,0
864,6/11/2021,University Club,Peanut Butter Crackers,25,0
865,6/12/2021,HAFB,Makeup remover,31,0
866,6/12/2021,University Club,Pretzels,24,0
867,6/12/2021,HAFB,Toilet Paper,18,0
868,6/13/2021,First Year Studies Troy University,Scent Booster,35,0
869,6/13/2021,HAFB,Toothpaste,22,0
870,6/13/2021,HAFB,Toothpaste,32,0
871,6/14/2021,HAFB,Granola Bars,30,0
872,6/15/2021,HAFB,Toilet Paper,21,0
873,6/15/2021,University Club,Rice,30,0
874,6/16/2021,Homecoming Philanthropy,Juice Boxes,30,0
875,6/17/2021,Individual Donor,Rice Krispies Treats,27,0
876,6/18/2021,Local Grocery,Pasta,17,0
877,6/18/2021,Community Center,Softener,37,0
878,6/18/2021,Local Grocery,Fruit cup,34,0
879,6/18/2021,Community Center,Fruit cup,27,0
880,6/19/2021,HAFB,Rice,31,0
881,6/19/2021,Local Grocery,Juice Boxes,27,0
882,6/20/2021,Can Castle Contest,Ramen,24,0
883,6/20/2021,HAFB,Laundry Detergent,34,0
884,6/21/2021,Can Castle Contest,Ramen,38,0
885,6/21/2021,HAFB,Softener,15,0
886,6/22/2021,Anonymous donor,Ramen,27,0
887,6/24/2021,Starting Inventory,Toilet Paper,28,0
888,6/24/2021,HAFB,Toilet Paper,30,0
889,6/25/2021,HAFB,Ramen,14,0
890,6/25/2021,Community Center,Spaghetti Rings Pasta,41,0
891,6/26/2021,HAFB,Granola Bars,25,0
892,6/28/2021,HAFB,Applesauce (ind),31,0
893,6/28/2021,HAFB,Spaghetti Rings Pasta,34,0
894,6/28/2021,Homecoming Philanthropy,Notebooks,25,0
895,6/30/2021,Anonymous donor,Scent Booster,30,0
896,7/1/2021,Anonymous donor,Cereal,2,0
897,7/1/2021,Local Grocery,Peanut Butter Crackers,2,0
898,7/2/2021,University Club,Fruit cup,1,0
899,7/2/2021,HAFB,Toothpaste,1,0
900,7/3/2021,HAFB,Toilet Paper,1,0
901,7/4/2021,Can Castle Contest,Canned Vegetables,2,0
902,7/4/2021,Individual Donor,Rice,2,0
903,7/6/2021,Can Castle Contest,Laundry Detergent,2,0
904,7/6/2021,HAFB,Pasta,2,0
905,7/7/2021,Starting Inventory,Green Beans,2,0
906,7/7/2021,Local Grocery,Rice,2,0
907,7/7/2021,HAFB,Oatmeal,2,0
908,7/8/2021,HAFB,Rice,1,0
909,7/9/2021,Local Grocery,Scent Booster,1,0
910,7/9/2021,Individual Donor,Rice,2,0
911,7/9/2021,sorority,Granola Bars,2,0
912,7/9/2021,Community Center,Applesauce (ind),2,0
913,7/9/2021,HAFB,Canned Beans,2,0
914,7/9/2021,Anonymous donor,Water,2,0
915,7/11/2021,Local Grocery,Toilet Paper,2,0
916,7/11/2021,Local Grocery,Laundry Detergent,1,0
917,7/12/2021,Community Center,Applesauce (ind),3,0
918,7/13/2021,HAFB,Carrots,2,0
919,7/13/2021,Can Castle Contest,Canned Vegetables,2,0
920,7/13/2021,HAFB,Juice Boxes,2,0
921,7/14/2021,Anonymous donor,Peanut Butter Crackers,2,0
922,7/15/2021,University Club,Applesauce (ind),2,0
923,7/16/2021,Local Grocery,Notebooks,2,0
924,7/17/2021,Police Amnesty Day,Rice,2,0
925,7/17/2021,Community Center,Juice Boxes,2,0
926,7/17/2021,Can Castle Contest,Pasta,2,0
927,7/18/2021,HAFB,Rice Krispies Treats,1,0
928,7/18/2021,HAFB,Pasta,2,0
929,7/18/2021,Community Center,Juice Boxes,2,0
930,7/19/2021,Local Grocery,Granola Bars,2,0
931,7/19/2021,HAFB,Fruit cup,2,0
932,7/19/2021,Anonymous donor,Scent Booster,2,0
933,7/19/2021,Anonymous donor,Rice,2,0
934,7/20/2021,Anonymous donor,Toothpaste,2,0
935,7/20/2021,HAFB,Ravioli,2,0
936,7/20/2021,HAFB,Peanut Butter Crackers,2,0
937,7/21/2021,Individual Donor,Scent Booster,2,0
938,7/21/2021,HAFB,Toilet Paper,2,0
939,7/21/2021,HAFB,Softener,2,0
940,7/21/2021,Local Grocery,Rice,2,0
941,7/22/2021,Local Grocery,Applesauce (ind),2,0
942,7/22/2021,Community Center,Green Beans,1,0
943,7/23/2021,Anonymous donor,Peanut Butter,3,0
944,7/23/2021,HAFB,Granola Bars,1,0
945,7/23/2021,sorority,Alfredo,1,0
946,7/23/2021,Anonymous donor,Softener,2,0
947,7/24/2021,HAFB,Pasta,3,0
948,7/24/2021,HAFB,Cereal,2,0
949,7/25/2021,HAFB,Toilet Paper,2,0
950,7/25/2021,Community Center,Toilet Paper,2,0
951,7/25/2021,HAFB,Cereal,2,0
952,7/25/2021,HAFB,Scent Booster,1,0
953,7/25/2021,HAFB,Bread,1,0
954,7/25/2021,sorority,Fruit cup,2,0
955,7/26/2021,HAFB,Granola Bars,2,0
956,7/26/2021,HAFB,Applesauce (ind),2,0
957,7/27/2021,HAFB,Cereal,2,0
958,7/27/2021,Local Grocery,Spaghetti Rings Pasta,1,0
959,7/29/2021,Community Center,Cereal,2,0
960,7/29/2021,HAFB,Cereal,2,0
961,7/30/2021,Individual Donor,Peas,2,0
962,7/31/2021,HAFB,Toilet Paper,3,0
963,8/1/2021,Individual Donor,Granola Bars,4,0
964,8/1/2021,Community Center,Toothpaste,7,0
965,8/1/2021,Individual Donor,Spaghetti Rings Pasta,4,0
966,8/1/2021,Starting Inventory,Peanut Butter Crackers,3,0
967,8/2/2021,Community Center,Softener,4,0
968,8/3/2021,Community Center,Cereal,2,0
969,8/3/2021,HAFB,Pretzels,3,0
970,8/3/2021,Anonymous donor,Pasta,6,0
971,8/3/2021,HAFB,Juice Boxes,3,0
972,8/4/2021,Individual Donor,Spaghetti Rings Pasta,4,0
973,8/4/2021,HAFB,Rice,5,0
974,8/5/2021,Anonymous donor,Cereal,3,0
975,8/6/2021,University Club,Cereal,4,0
976,8/6/2021,HAFB,Softener,4,0
977,8/6/2021,Anonymous donor,Canned Vegetables,5,0
978,8/7/2021,Starting Inventory,Rice Krispies Treats,4,0
979,8/8/2021,HAFB,Rice,4,0
980,8/8/2021,Individual Donor,"Laundry Detergent, Softener, Scent Booster",5,0
981,8/8/2021,HAFB,Spaghetti Rings Pasta,5,0
982,8/9/2021,HAFB,Applesauce (ind),4,0
983,8/10/2021,Individual Donor,Pasta,4,0
984,8/11/2021,Anonymous donor,Cannellini Beans,3,0
985,8/12/2021,sorority,Scent Booster,3,0
986,8/13/2021,Starting Inventory,Scent Booster,5,0
987,8/13/2021,Community Center,Peanut Butter Crackers,4,0
988,8/14/2021,HAFB,Canned Vegetables,4,0
989,8/14/2021,Homecoming Philanthropy,Fruit cup,3,0
990,8/16/2021,Starting Inventory,Ramen,6,0
991,8/17/2021,HAFB,Peanut Butter Crackers,7,0
992,8/17/2021,HAFB,Spaghetti Rings Pasta,4,0
993,8/18/2021,Starting Inventory,Peanut Butter Crackers,5,0
994,8/18/2021,Anonymous donor,Pasta,2,0
995,8/18/2021,Community Center,Canned Vegetables,4,0
996,8/19/2021,Anonymous donor,Scent Booster,4,0
997,8/19/2021,HAFB,Toilet Paper,6,0
998,8/20/2021,HAFB,Fruit cup,2,0
999,8/21/2021,Local Grocery,Cereal,6,0
1000,8/21/2021,Anonymous donor,Scent Booster,4,0
1001,8/22/2021,HAFB,Peanut Butter Crackers,3,0
1002,8/23/2021,Anonymous donor,Scent Booster,5,0
1003,8/23/2021,HAFB,Rice Krispies Treats,4,0
1004,8/23/2021,University Club,Pasta,5,0
1005,8/24/2021,University Club,Mac and Cheese,4,0
1006,8/24/2021,Individual Donor,Juice Boxes,3,0
1007,8/24/2021,Anonymous donor,Peanut Butter,5,0
1008,8/25/2021,Local Grocery,Oatmeal,3,0
1009,8/25/2021,Community Center,Spaghetti Rings Pasta,3,0
1010,8/25/2021,HAFB,Rice,5,0
1011,8/25/2021,HAFB,Rice Krispies Treats,4,0
1012,8/25/2021,HAFB,Canned Vegetables,4,0
1013,8/26/2021,Anonymous donor,Applesauce (ind),4,0
1014,8/26/2021,Local Grocery,Rice,5,0
1015,8/27/2021,Individual Donor,Toilet Paper,4,0
1016,8/27/2021,University Club,Rice,8,0
1017,8/27/2021,HAFB,Spaghetti Rings Pasta,6,0
1018,8/28/2021,HAFB,Cereal,2,0
1019,8/28/2021,Individual Donor,Canned Vegetables,3,0
1020,8/28/2021,Anonymous donor,Spaghetti Rings Pasta,3,0
1021,8/28/2021,Individual Donor,Applesauce (ind),7,0
1022,8/30/2021,University Club,Rice,3,0
1023,8/30/2021,Homecoming Philanthropy,Peanut Butter,4,0
1024,8/30/2021,Local Grocery,Softener,6,0
1025,8/31/2021,HAFB,Ramen,5,0
1026,9/1/2021,HAFB,Granola Bars,8,0
1027,9/1/2021,HAFB,Toothpaste,7,0
1028,9/1/2021,Anonymous donor,Ramen,10,0
1029,9/2/2021,Individual Donor,Granola Bars,6,0
1030,9/2/2021,Anonymous donor,Pasta,10,0
1031,9/2/2021,Community Center,Canned Beans,7,0
1032,9/2/2021,Freshmen Forum,Canned Vegetables,8,0
