S.n,Visit Date,Consumer ID,Student Name,Item Taken,Quantity Taken
538,11/4/2020,C101,N/A,Pasta,4
539,11/4/2020,C067,N/A,Spaghetti Noodles,10
540,11/4/2020,C110,N/A,Garbanzo Beans,7
541,11/6/2020,C090,N/A,Chicken Noodle Soup,10
542,11/6/2020,C115,N/A,Light Red Kidney Beans,7
543,11/8/2020,C080,N/A,Beets,1
544,11/9/2020,C066,N/A,Broccoli and Cheese,4
545,11/12/2020,C016,N/A,Chips/Crackers,10
546,11/12/2020,C119,N/A,Pasta,6
547,11/12/2020,C073,N/A,Makeup remover,3
548,11/13/2020,C147,N/A,Beefaroni,13
549,11/13/2020,C095,N/A,Spaghetti Noodles,9
550,11/14/2020,C014,N/A,Ravioli,7
551,11/14/2020,C076,N/A,Chunk Chicken Breast,1
552,11/14/2020,C113,N/A,Permanent marker,12
553,11/14/2020,C046,N/A,Bean with Bacon Soup,15
554,11/15/2020,C118,N/A,Grits (can/package),3
555,11/15/2020,C050,N/A,Corn,2
556,11/15/2020,C107,N/A,Chunk Chicken Breast,14
557,11/15/2020,C028,N/A,Pasta,7
558,11/15/2020,C045,N/A,Alfredo,15
559,11/16/2020,C056,N/A,Pinto Beans,1
560,11/16/2020,C053,N/A,Permanent marker,10
561,11/17/2020,C085,N/A,Bean with Bacon Soup,7
562,11/17/2020,C119,N/A,Garbanzo Beans,4
563,11/18/2020,C041,N/A,Bean with Bacon Soup,8
564,11/19/2020,C015,N/A,Juice Boxes,11
565,11/20/2020,C080,N/A,Carrots,1
566,11/20/2020,C125,N/A,Grits (ind),10
567,11/20/2020,C001,N/A,Diced Tomatoes,10
568,11/20/2020,C135,N/A,Fruit / Cereal / Breakfast Bar,2
569,11/21/2020,C113,N/A,Seasonings,2
570,11/23/2020,C104,N/A,Binders,8
571,11/25/2020,C086,N/A,Cheese Crackers,1
572,11/25/2020,C079,N/A,Makeup remover,8
573,11/25/2020,C143,N/A,Granola Bars,7
574,11/25/2020,C101,N/A,Cereal (ind),2
575,11/26/2020,C057,N/A,Toothpaste,10
576,11/26/2020,C063,N/A,Permanent marker,2
577,11/27/2020,C101,N/A,Juice Boxes,4
578,11/27/2020,C085,N/A,Feminine Products (Pads),5
579,11/28/2020,C009,N/A,Pork and Beans,7
580,11/28/2020,C136,N/A,Juice Boxes,13
581,11/28/2020,C149,N/A,Pasta,1
582,11/29/2020,C084,N/A,Fruit Cocktail,14
583,11/29/2020,C089,N/A,Chunk Chicken Breast,11
584,11/30/2020,C139,N/A,Pickles,2
585,12/1/2020,C097,N/A,Vegetable and Beef Soup,1
586,12/1/2020,C131,N/A,Bodywash,8
587,12/4/2020,C128,N/A,Pineapple,10
588,12/4/2020,C100,N/A,Spaghetti Noodles,4
589,12/4/2020,C026,N/A,Toilet Paper,13
590,12/6/2020,C122,N/A,Peanut Butter Crackers,13
591,12/6/2020,C090,N/A,Cereal,13
592,12/6/2020,C134,N/A,Vienna Sausages,15
593,12/7/2020,C097,N/A,Water,3
594,12/7/2020,C011,N/A,Toothbrushes,11
595,12/7/2020,C128,N/A,Pineapple,15
596,12/7/2020,C137,N/A,"Laundry Detergent, Softener, Scent Booster",11
597,12/7/2020,C088,N/A,Light Red Kidney Beans,2
598,12/8/2020,C132,N/A,Binders,3
599,12/8/2020,C128,N/A,Spaghetti Noodles,10
600,12/8/2020,C061,N/A,Peanut Butter,15
601,12/8/2020,C117,N/A,Bread,1
602,12/9/2020,C103,N/A,Page-protector,6
603,12/9/2020,C061,N/A,Feminine Products (Tampons),14
604,12/9/2020,C029,N/A,Softener,5
605,12/10/2020,C135,N/A,Cereal (ind),6
606,12/10/2020,C026,N/A,"Laundry Detergent, Softener, Scent Booster",3
607,12/10/2020,C103,N/A,Fruit Cocktail,5
608,12/12/2020,C136,N/A,Feminine Products (Tampons),7
609,12/12/2020,C068,N/A,Peas,7
610,12/13/2020,C066,N/A,Pineapple,10
611,12/13/2020,C015,N/A,Cake Mix,10
612,12/13/2020,C095,N/A,Tomato Soup,2
613,12/13/2020,C097,N/A,Chips/Crackers,1
614,12/14/2020,C064,N/A,Bar Soap,7
615,12/14/2020,C013,N/A,Campus Kitchens Meals,12
616,12/15/2020,C035,N/A,Cake Mix,13
617,12/15/2020,C031,N/A,Juice,14
618,12/16/2020,C039,N/A,Pineapple,8
619,12/16/2020,C001,N/A,Granola / Snack Bars,13
620,12/18/2020,C024,N/A,Chicken and Dumplings,9
621,12/18/2020,C050,N/A,Seasonings,12
622,12/18/2020,C060,N/A,Chicken Noodle Soup,10
623,12/20/2020,C045,N/A,Campus Kitchens Meals,6
624,12/20/2020,C109,N/A,Rice Crisps,5
625,12/21/2020,C104,N/A,Pork and Beans,10
626,12/21/2020,C116,N/A,Fruit Cocktail,10
627,12/22/2020,C123,N/A,Large Bag of Chips,5
628,12/24/2020,C095,N/A,Cake Mix,1
629,12/24/2020,C121,N/A,Grits (can/package),15
630,12/25/2020,C150,N/A,Water,1
631,12/25/2020,C003,N/A,Fruit / Cereal / Breakfast Bar,6
632,12/25/2020,C019,N/A,Toothpaste,14
633,12/27/2020,C130,N/A,Peas,10
634,12/27/2020,C090,N/A,Seasonings,1
635,12/27/2020,C026,N/A,Water,9
636,12/28/2020,C042,N/A,Permanent marker,8
637,12/29/2020,C137,N/A,Garbanzo Beans,10
638,12/29/2020,C039,N/A,Water,10
639,12/30/2020,C146,N/A,Highlighters,10
640,12/30/2020,C104,N/A,Page-protector,13
641,12/30/2020,C008,N/A,Lotion,5
642,12/30/2020,C004,N/A,Grits (can/package),8
643,1/1/2021,C091,N/A,Makeup remover,15
644,1/2/2021,C126,N/A,Lotion,3
645,1/2/2021,C051,N/A,Canned Vegetables,9
646,1/2/2021,C116,N/A,Vienna Sausages,12
647,1/3/2021,C132,N/A,"Laundry Detergent, Softener, Scent Booster",4
648,1/4/2021,C117,N/A,Bodywash,1
649,1/4/2021,C066,N/A,Dental Floss,9
650,1/4/2021,C010,N/A,Vienna Sausages,5
651,1/5/2021,C126,N/A,Page-protector,9
652,1/5/2021,C138,N/A,Ravioli,5
653,1/5/2021,C071,N/A,Seasonings,7
654,1/6/2021,C056,N/A,Laundry Detergent,7
655,1/6/2021,C037,N/A,Highlighters,3
656,1/7/2021,C134,N/A,Vienna Sausages,9
657,1/7/2021,C032,N/A,Granola / Snack Bars,10
658,1/8/2021,C062,N/A,Nutri Grain Bars,15
659,1/9/2021,C106,N/A,Granola / Snack Bars,1
660,1/10/2021,C113,N/A,Scent Booster,9
661,1/10/2021,C146,N/A,Chicken and Dumplings,6
662,1/11/2021,C073,N/A,Fruit / Cereal / Breakfast Bar,8
663,1/11/2021,C048,N/A,Beets,6
664,1/12/2021,C097,N/A,Bread,5
665,1/13/2021,C090,N/A,Grits (ind),5
666,1/15/2021,C078,N/A,Toilet Paper,12
667,1/15/2021,C038,N/A,Granola Bars,1
668,1/15/2021,C136,N/A,Granola / Snack Bars,1
669,1/15/2021,C127,N/A,Pasta,3
670,1/16/2021,C130,N/A,Permanent marker,2
671,1/16/2021,C131,N/A,Pineapple,14
672,1/16/2021,C022,N/A,Permanent marker,8
673,1/16/2021,C023,N/A,Vegetable and Beef Soup,9
674,1/17/2021,C078,N/A,Washcloth,1
675,1/19/2021,C108,N/A,"Laundry Detergent, Softener, Scent Booster",5
676,1/21/2021,C103,N/A,Juice Boxes,13
677,1/21/2021,C056,N/A,Washcloth,3
678,1/21/2021,C108,N/A,Pickles,7
679,1/22/2021,C064,N/A,Grits (ind),3
680,1/24/2021,C132,N/A,Pear Halves,15
681,1/24/2021,C128,N/A,Laundry Detergent,6
682,1/25/2021,C030,N/A,Chili Beans,10
683,1/25/2021,C013,N/A,Washcloth,2
684,1/25/2021,C080,N/A,Pens,10
685,1/27/2021,C049,N/A,Cannellini Beans,6
686,1/27/2021,C074,N/A,Makeup remover,9
687,1/29/2021,C032,N/A,Deodorant,7
688,1/29/2021,C050,N/A,Bar Soap,6
689,1/30/2021,C132,N/A,Pencils,5
690,1/30/2021,C122,N/A,Spaghetti Rings Pasta,7
691,1/30/2021,C059,N/A,Tomato Soup,3
692,1/31/2021,C036,N/A,Rice Crisps,8
693,1/31/2021,C055,N/A,Highlighters,2
694,1/31/2021,C035,N/A,Pickles,4
695,2/1/2021,C020,N/A,Peas,7
696,2/1/2021,C002,N/A,Beefaroni,1
697,2/2/2021,C109,N/A,Cheese Crackers,10
698,2/2/2021,C094,N/A,Chicken and Dumplings,13
699,2/3/2021,C024,N/A,Large Bag of Chips,13
700,2/4/2021,C098,N/A,Garbanzo Beans,3
701,2/4/2021,C068,N/A,Cake Mix,9
702,2/4/2021,C145,N/A,Binders,15
703,2/5/2021,C125,N/A,Highlighters,8
704,2/6/2021,C012,N/A,Garbanzo Beans,5
705,2/6/2021,C056,N/A,Pretzels,7
706,2/6/2021,C107,N/A,Chili Beans,6
707,2/8/2021,C146,N/A,Oatmeal,2
708,2/8/2021,C070,N/A,Pear Halves,1
709,2/10/2021,C067,N/A,Granola / Snack Bars,8
710,2/10/2021,C038,N/A,Fruit cup,7
711,2/11/2021,C076,N/A,Notebooks,8
712,2/12/2021,C016,N/A,Water,9
713,2/12/2021,C118,N/A,Pasta,1
714,2/12/2021,C146,N/A,Pear Halves,11
715,2/13/2021,C114,N/A,Spaghetti Noodles,10
716,2/13/2021,C092,N/A,Corn,10
717,2/13/2021,C063,N/A,Vegetable and Beef Soup,1
718,2/13/2021,C095,N/A,Nutri Grain Bars,3
719,2/14/2021,C146,N/A,Juice,9
720,2/15/2021,C136,N/A,Carrots,6
721,2/16/2021,C134,N/A,Pickles,6
722,2/16/2021,C096,N/A,Vegetable and Beef Soup,3
723,2/16/2021,C015,N/A,Cheese Crackers,6
724,2/16/2021,C001,N/A,Testing Material/Blue Book/Scantron,12
725,2/18/2021,C038,N/A,Washcloth,7
726,2/18/2021,C092,N/A,Cake Mix,13
727,2/19/2021,C006,N/A,Pretzels,4
728,2/19/2021,C031,N/A,Chicken Noodle Soup,13
729,2/20/2021,C052,N/A,Washcloth,10
730,2/20/2021,C145,N/A,Chicken and Dumplings,4
731,2/21/2021,C064,N/A,Black Beans,6
732,2/21/2021,C035,N/A,Pasta,7
733,2/22/2021,C108,N/A,Page-protector,1
734,2/22/2021,C144,N/A,Pork and Beans,6
735,2/23/2021,C047,N/A,Bodywash,6
736,2/24/2021,C037,N/A,Pencils,15
737,2/26/2021,C027,N/A,Peas,13
738,2/28/2021,C143,N/A,Pear Halves,14
739,3/1/2021,C150,N/A,Broccoli and Cheese,6
740,3/2/2021,C016,N/A,Cereal (ind),4
741,3/2/2021,C102,N/A,Chicken Noodle Soup,10
742,3/2/2021,C079,N/A,Shampoo,12
743,3/2/2021,C022,N/A,Ravioli,4
744,3/2/2021,C023,N/A,Pinto Beans,6
745,3/3/2021,C060,N/A,Cereal (ind),14
746,3/3/2021,C037,N/A,Scent Booster,2
747,3/4/2021,C033,N/A,Deodorant,2
748,3/4/2021,C147,N/A,Chili Beans,1
749,3/5/2021,C022,N/A,Ramen,7
750,3/5/2021,C075,N/A,Grits (can/package),9
751,3/6/2021,C131,N/A,Washcloth,9
752,3/6/2021,C086,N/A,Cheese Crackers,1
753,3/6/2021,C029,N/A,Pretzels,4
754,3/7/2021,C076,N/A,Cereal,6
755,3/9/2021,C015,N/A,Spaghetti Noodles,8
756,3/9/2021,C066,N/A,"Laundry Detergent, Softener, Scent Booster",2
757,3/9/2021,C135,N/A,Highlighters,5
758,3/9/2021,C097,N/A,Corn,6
759,3/10/2021,C112,N/A,Applesauce (ind),7
760,3/11/2021,C015,N/A,Seasonings,9
761,3/12/2021,C082,N/A,Feminine Products (Tampons),10
762,3/13/2021,C074,N/A,Peas,5
763,3/13/2021,C134,N/A,Ramen,2
764,3/14/2021,C051,N/A,Sparkling Water,7
765,3/15/2021,C009,N/A,Granola Bars,12
766,3/15/2021,C003,N/A,Ramen,10
767,3/16/2021,C094,N/A,Dental Floss,5
768,3/17/2021,C083,N/A,Toothbrushes,1
769,3/18/2021,C143,N/A,Highlighters,7
770,3/18/2021,C003,N/A,Green Beans,8
771,3/18/2021,C093,N/A,Chicken and Stars,6
772,3/18/2021,C109,N/A,Pinto Beans,9
773,3/19/2021,C082,N/A,Softener,7
774,3/19/2021,C039,N/A,Toothpaste,4
775,3/20/2021,C097,N/A,Binders,10
776,3/20/2021,C100,N/A,Garbanzo Beans,15
777,3/20/2021,C039,N/A,Feminine Products (Pads),12
778,3/21/2021,C005,N/A,Shampoo,1
779,3/22/2021,C063,N/A,Ramen,7
780,3/22/2021,C148,N/A,Pens,2
781,3/23/2021,C119,N/A,Bread,14
782,3/23/2021,C127,N/A,Pickles,8
783,3/24/2021,C140,N/A,Pretzels,3
784,3/24/2021,C003,N/A,Pineapple,12
785,3/25/2021,C040,N/A,Chicken and Dumplings,8
786,3/25/2021,C063,N/A,Cheese Crackers,1
787,3/27/2021,C097,N/A,Black Beans,2
788,3/28/2021,C043,N/A,Beets,2
789,3/29/2021,C052,N/A,Pork and Beans,2
790,3/30/2021,C131,N/A,Cannellini Beans,5
791,3/30/2021,C096,N/A,Fruit cup,9
792,3/31/2021,C049,N/A,Bean with Bacon Soup,14
793,4/1/2021,C088,N/A,Pork and Beans,4
794,4/1/2021,C133,N/A,Highlighters,1
795,4/3/2021,C133,N/A,Feminine Products (Tampons),9
796,4/4/2021,C073,N/A,Diced Tomatoes,1
797,4/4/2021,C127,N/A,Toilet Paper,5
798,4/4/2021,C046,N/A,Grits (can/package),6
799,4/5/2021,C110,N/A,Chicken Noodle Soup,1
800,4/6/2021,C086,N/A,Black Beans,4
801,4/6/2021,C016,N/A,Toilet Paper,5
802,4/7/2021,C020,N/A,Spaghetti Rings Pasta,2
803,4/8/2021,C048,N/A,Highlighters,2
804,4/8/2021,C149,N/A,Beefaroni,5
805,4/8/2021,C025,N/A,Tomato Soup,3
806,4/9/2021,C040,N/A,Chunk Chicken Breast,7
807,4/10/2021,C147,N/A,Deodorant,12
808,4/10/2021,C103,N/A,Water,14
809,4/10/2021,C111,N/A,Pretzels,12
810,4/11/2021,C015,N/A,Diced Tomatoes,14
811,4/11/2021,C039,N/A,Water,10
812,4/12/2021,C117,N/A,Permanent marker,1
813,4/12/2021,C109,N/A,Pear Halves,3
814,4/14/2021,C097,N/A,Grits (can/package),3
815,4/14/2021,C030,N/A,Grits (can/package),6
816,4/14/2021,C028,N/A,Alfredo,7
817,4/16/2021,C102,N/A,Rice Crisps,7
818,4/16/2021,C001,N/A,Dental Floss,6
819,4/17/2021,C055,N/A,Cereal (ind),6
820,4/17/2021,C120,N/A,Permanent marker,2
821,4/18/2021,C049,N/A,Mac and Cheese,14
822,4/19/2021,C030,N/A,Dental Floss,11
823,4/19/2021,C103,N/A,Sparkling Water,13
824,4/19/2021,C085,N/A,Granola / Snack Bars,13
825,4/19/2021,C006,N/A,Dental Floss,11
826,4/20/2021,C059,N/A,Canned Vegetables,10
827,4/20/2021,C014,N/A,Juice,7
828,4/20/2021,C064,N/A,Laundry Detergent,5
829,4/21/2021,C117,N/A,Large Bag of Chips,8
830,4/22/2021,C044,N/A,Bread,6
831,4/22/2021,C142,N/A,Pasta,1
832,4/22/2021,C031,N/A,Large Bag of Chips,3
833,4/23/2021,C124,N/A,Pasta,3
834,4/23/2021,C136,N/A,Chips/Crackers,10
835,4/24/2021,C039,N/A,Black Beans,6
836,4/24/2021,C026,N/A,Softener,8
837,4/25/2021,C129,N/A,Notebooks,14
838,4/25/2021,C023,N/A,Cheese Crackers,6
839,4/25/2021,C090,N/A,Canned Beans,9
840,4/26/2021,C099,N/A,Black Beans,6
841,4/26/2021,C147,N/A,Granola Bars,2
842,4/27/2021,C001,N/A,Grits (ind),3
843,4/27/2021,C129,N/A,Green Beans,4
844,4/28/2021,C020,N/A,Chips/Crackers,7
845,4/28/2021,C140,N/A,Dental Floss,10
846,4/28/2021,C040,N/A,Vienna Sausages,12
847,4/29/2021,C031,N/A,"Laundry Detergent, Softener, Scent Booster",14
848,4/29/2021,C080,N/A,Bread,7
849,4/30/2021,C021,N/A,Bread,2
850,4/30/2021,C077,N/A,Makeup remover,3
851,4/30/2021,C150,N/A,Pear Halves,4
852,4/30/2021,C071,N/A,Pretzels,8
853,5/1/2021,C036,N/A,Chicken Noodle Soup,6
854,5/1/2021,C028,N/A,Highlighters,5
855,5/3/2021,C021,N/A,Canned Vegetables,2
856,5/3/2021,C067,N/A,Bar Soap,13
857,5/3/2021,C139,N/A,Cheese Crackers,9
858,5/4/2021,C059,N/A,Canned Beans,6
859,5/5/2021,C146,N/A,Corn,8
860,5/5/2021,C117,N/A,Spaghetti Rings Pasta,8
861,5/5/2021,C074,N/A,Light Red Kidney Beans,7
862,5/5/2021,C074,N/A,Bar Soap,15
863,5/5/2021,C127,N/A,Granola Bars,8
864,5/6/2021,C096,N/A,Chicken Noodle Soup,6
865,5/6/2021,C098,N/A,Granola / Snack Bars,12
866,5/6/2021,C004,N/A,Seasonings,2
867,5/6/2021,C118,N/A,Scent Booster,9
868,5/8/2021,C008,N/A,Water,11
869,5/8/2021,C033,N/A,Tomato Soup,14
870,5/9/2021,C095,N/A,Cake Mix,15
871,5/10/2021,C020,N/A,Toilet Paper,14
872,5/10/2021,C050,N/A,Bar Soap,5
873,5/11/2021,C012,N/A,Light Red Kidney Beans,15
874,5/11/2021,C061,N/A,Scent Booster,6
875,5/11/2021,C072,N/A,Testing Material/Blue Book/Scantron,1
876,5/12/2021,C001,N/A,Broccoli and Cheese,9
877,5/13/2021,C048,N/A,Fruit Cocktail,7
878,5/14/2021,C025,N/A,Pork and Beans,9
879,5/15/2021,C006,N/A,Toothpaste,9
880,5/15/2021,C107,N/A,Mac and Cheese,6
881,5/16/2021,C030,N/A,Toothpaste,3
882,5/16/2021,C139,N/A,Grits (ind),15
883,5/16/2021,C019,N/A,Fruit / Cereal / Breakfast Bar,15
884,5/16/2021,C091,N/A,Beefaroni,5
885,5/16/2021,C124,N/A,Alfredo,10
886,5/17/2021,C082,N/A,Garbanzo Beans,12
887,5/17/2021,C130,N/A,Cereal,6
888,5/17/2021,C080,N/A,Fruit cup,13
889,5/17/2021,C115,N/A,Campus Kitchens Meals,2
890,5/17/2021,C045,N/A,Cake Mix,9
891,5/17/2021,C119,N/A,Light Red Kidney Beans,9
892,5/18/2021,C141,N/A,Bodywash,11
893,5/19/2021,C002,N/A,Scent Booster,6
894,5/19/2021,C004,N/A,Lotion,11
895,5/19/2021,C082,N/A,Bread,2
896,5/20/2021,C148,N/A,Black Beans,3
897,5/20/2021,C086,N/A,Pencils,1
898,5/22/2021,C102,N/A,Chicken and Stars,8
899,5/23/2021,C139,N/A,Chili Beans,9
900,5/23/2021,C072,N/A,Black Beans,1
901,5/24/2021,C150,N/A,Chicken and Stars,14
902,5/25/2021,C033,N/A,Peanut Butter,4
903,5/25/2021,C103,N/A,Garbanzo Beans,9
904,5/26/2021,C141,N/A,Alfredo,7
905,5/27/2021,C109,N/A,Chicken and Stars,2
906,5/28/2021,C048,N/A,Peanut Butter Crackers,2
907,5/28/2021,C007,N/A,Bar Soap,10
908,5/28/2021,C058,N/A,Pinto Beans,12
909,5/29/2021,C132,N/A,Shampoo,2
910,5/30/2021,C019,N/A,Softener,1
911,5/31/2021,C029,N/A,"Laundry Detergent, Softener, Scent Booster",3
912,5/31/2021,C011,N/A,Peas,10
913,6/1/2021,C048,N/A,Rice Krispies Treats,2
914,6/3/2021,C072,N/A,Black Beans,10
915,6/3/2021,C085,N/A,Feminine Products (Pads),11
916,6/3/2021,C075,N/A,Permanent marker,4
917,6/3/2021,C035,N/A,Bodywash,4
918,6/4/2021,C080,N/A,Permanent marker,8
919,6/4/2021,C137,N/A,Peas,15
920,6/5/2021,C103,N/A,Rice,6
921,6/5/2021,C075,N/A,Diced Tomatoes,4
922,6/5/2021,C098,N/A,Deodorant,10
923,6/5/2021,C117,N/A,Grits (ind),3
924,6/6/2021,C021,N/A,Corn,9
925,6/7/2021,C012,N/A,Toothpaste,9
926,6/8/2021,C049,N/A,Rice,10
927,6/8/2021,C050,N/A,Water,12
928,6/9/2021,C085,N/A,Washcloth,13
929,6/10/2021,C144,N/A,Shampoo,9
930,6/10/2021,C064,N/A,Feminine Products (Tampons),9
931,6/11/2021,C094,N/A,Diced Tomatoes,4
932,6/11/2021,C071,N/A,Chili Beans,5
933,6/12/2021,C082,N/A,Pear Halves,10
934,6/12/2021,C113,N/A,Pork and Beans,3
935,6/12/2021,C111,N/A,Diced Tomatoes,11
936,6/12/2021,C027,N/A,Large Bag of Chips,5
937,6/12/2021,C140,N/A,Peanut Butter,8
938,6/13/2021,C082,N/A,Applesauce (ind),6
939,6/13/2021,C116,N/A,Ramen,7
940,6/13/2021,C126,N/A,Spaghetti Noodles,10
941,6/14/2021,C138,N/A,Chicken Noodle Soup,8
942,6/14/2021,C089,N/A,Pens,8
943,6/14/2021,C137,N/A,Canned Vegetables,11
944,6/15/2021,C006,N/A,Deodorant,2
945,6/16/2021,C150,N/A,Cheese Crackers,6
946,6/16/2021,C086,N/A,Testing Material/Blue Book/Scantron,4
947,6/16/2021,C112,N/A,Highlighters,11
948,6/16/2021,C030,N/A,Fruit / Cereal / Breakfast Bar,3
949,6/18/2021,C038,N/A,Chicken and Stars,12
950,6/18/2021,C128,N/A,Bread,10
951,6/19/2021,C003,N/A,Garbanzo Beans,15
952,6/19/2021,C072,N/A,Pineapple,10
953,6/20/2021,C034,N/A,Rice Krispies Treats,13
954,6/20/2021,C085,N/A,Pasta,10
955,6/21/2021,C009,N/A,Pencils,13
956,6/21/2021,C010,N/A,Canned Vegetables,11
957,6/22/2021,C131,N/A,Juice Boxes,4
958,6/23/2021,C098,N/A,Pens,9
959,6/23/2021,C113,N/A,Peanut Butter Crackers,1
960,6/23/2021,C098,N/A,Spaghetti Rings Pasta,12
961,6/24/2021,C149,N/A,Pineapple,8
962,6/24/2021,C050,N/A,Softener,1
963,6/24/2021,C146,N/A,Shampoo,9
964,6/24/2021,C046,N/A,Bread,5
965,6/25/2021,C125,N/A,"Laundry Detergent, Softener, Scent Booster",9
966,6/25/2021,C057,N/A,Permanent marker,3
967,6/25/2021,C051,N/A,Rice Krispies Treats,11
968,6/26/2021,C090,N/A,Nutri Grain Bars,10
969,6/26/2021,C007,N/A,Large Bag of Chips,13
970,6/27/2021,C079,N/A,Chicken Noodle Soup,2
971,6/27/2021,C061,N/A,Spaghetti Rings Pasta,13
972,6/28/2021,C043,N/A,Chicken and Stars,7
973,6/28/2021,C130,N/A,Ravioli,2
974,6/29/2021,C118,N/A,Toothpaste,15
975,6/29/2021,C138,N/A,Peanut Butter,7
976,6/29/2021,C073,N/A,Applesauce (ind),2
977,6/29/2021,C024,N/A,Beefaroni,2
978,6/29/2021,C127,N/A,Notebooks,9
979,6/30/2021,C099,N/A,Granola / Snack Bars,8
980,6/30/2021,C073,N/A,Notebooks,10
981,6/30/2021,C025,N/A,Chili Beans,3
982,6/30/2021,C099,N/A,Grits (can/package),1
983,7/2/2021,C034,N/A,Granola / Snack Bars,15
984,7/2/2021,C050,N/A,Pinto Beans,7
985,7/3/2021,C033,N/A,Vienna Sausages,8
986,7/3/2021,C023,N/A,Peanut Butter Crackers,4
987,7/3/2021,C029,N/A,Mac and Cheese,12
988,7/3/2021,C130,N/A,Pretzels,14
989,7/4/2021,C102,N/A,Diced Tomatoes,6
990,7/5/2021,C023,N/A,Mac and Cheese,15
991,7/5/2021,C088,N/A,Toothpaste,15
992,7/6/2021,C133,N/A,Deodorant,1
993,7/6/2021,C149,N/A,Feminine Products (Pads),5
994,7/6/2021,C009,N/A,Vegetable and Beef Soup,5
995,7/6/2021,C020,N/A,Tomato Soup,14
996,7/7/2021,C119,N/A,Juice Boxes,2
997,7/7/2021,C064,N/A,Binders,14
998,7/7/2021,C019,N/A,Chicken and Dumplings,2
999,7/8/2021,C080,N/A,Sparkling Water,8
1000,7/9/2021,C054,N/A,Mac and Cheese,4
1001,7/10/2021,C108,N/A,Bean with Bacon Soup,13
1002,7/11/2021,C109,N/A,Grits (can/package),4
1003,7/11/2021,C045,N/A,Campus Kitchens Meals,4
1004,7/12/2021,C061,N/A,Cereal,14
1005,7/12/2021,C142,N/A,Canned Beans,3
1006,7/12/2021,C044,N/A,Light Red Kidney Beans,3
1007,7/12/2021,C060,N/A,Softener,10
1008,7/13/2021,C142,N/A,Large Bag of Chips,5
1009,7/13/2021,C100,N/A,Rice Krispies Treats,5
1010,7/14/2021,C010,N/A,Chili Beans,9
1011,7/14/2021,C131,N/A,Pork and Beans,6
1012,7/14/2021,C120,N/A,Cheese Crackers,13
1013,7/14/2021,C049,N/A,Pineapple,4
1014,7/15/2021,C121,N/A,Granola Bars,10
1015,7/16/2021,C064,N/A,Toothbrushes,14
1016,7/16/2021,C079,N/A,Mac and Cheese,9
1017,7/17/2021,C056,N/A,Feminine Products (Tampons),9
1018,7/18/2021,C060,N/A,Corn,9
1019,7/18/2021,C093,N/A,Toothpaste,15
1020,7/19/2021,C144,N/A,Toothpaste,14
1021,7/19/2021,C045,N/A,Pencils,7
1022,7/19/2021,C096,N/A,Rice Krispies Treats,4
1023,7/19/2021,C118,N/A,Ravioli,7
1024,7/21/2021,C031,N/A,Permanent marker,2
1025,7/21/2021,C129,N/A,Pickles,15
1026,7/21/2021,C147,N/A,Softener,9
1027,7/21/2021,C101,N/A,Highlighters,10
1028,7/21/2021,C121,N/A,Bread,9
1029,7/23/2021,C016,N/A,Chicken and Stars,6
1030,7/23/2021,C062,N/A,Vienna Sausages,8
1031,7/24/2021,C053,N/A,Pencils,8
1032,7/24/2021,C047,N/A,Peas,9
1033,7/25/2021,C023,N/A,Large Bag of Chips,12
1034,7/27/2021,C009,N/A,Rice,12
1035,7/27/2021,C093,N/A,Highlighters,10
1036,7/28/2021,C009,N/A,Beets,10
1037,7/28/2021,C103,N/A,Peas,1
1038,7/28/2021,C107,N/A,Ramen,7
1039,7/31/2021,C112,N/A,Softener,8
1040,7/31/2021,C144,N/A,Grits (can/package),9
1041,8/1/2021,C051,N/A,Permanent marker,6
1042,8/1/2021,C020,N/A,Applesauce (ind),10
1043,8/2/2021,C116,N/A,Juice,12
1044,8/2/2021,C149,N/A,Rice Krispies Treats,9
1045,8/2/2021,C103,N/A,Fruit Cocktail,3
1046,8/2/2021,C044,N/A,Beefaroni,4
1047,8/3/2021,C125,N/A,Chunk Chicken Breast,10
1048,8/3/2021,C038,N/A,Juice Boxes,14
1049,8/3/2021,C042,N/A,Sparkling Water,15
1050,8/4/2021,C027,N/A,Chicken and Dumplings,3
1051,8/4/2021,C123,N/A,Pretzels,7
1052,8/5/2021,C024,N/A,Washcloth,5
1053,8/5/2021,C084,N/A,Rice Krispies Treats,9
1054,8/5/2021,C026,N/A,Water,1
1055,8/5/2021,C059,N/A,Softener,12
1056,8/6/2021,C132,N/A,Diced Tomatoes,15
1057,8/6/2021,C135,N/A,Vegetable and Beef Soup,1
1058,8/6/2021,C048,N/A,Feminine Products (Pads),8
1059,8/7/2021,C124,N/A,Softener,9
1060,8/8/2021,C079,N/A,Bean with Bacon Soup,4
1061,8/8/2021,C085,N/A,Juice,2
1062,8/8/2021,C124,N/A,Testing Material/Blue Book/Scantron,4
1063,8/9/2021,C112,N/A,Makeup remover,7
1064,8/10/2021,C099,N/A,Cake Mix,13
1065,8/10/2021,C019,N/A,Toothpaste,14
1066,8/11/2021,C077,N/A,Sparkling Water,5
1067,8/11/2021,C128,N/A,Sparkling Water,9
1068,8/11/2021,C081,N/A,Chips/Crackers,10
1069,8/12/2021,C136,N/A,Pens,2
1070,8/12/2021,C057,N/A,Feminine Products (Pads),13
1071,8/14/2021,C064,N/A,Chicken and Dumplings,13
